,community,bike_lanes_percent,bike_shop_density,bike_rack_density,divvy_station_density,score
26,AVALON PARK,0.34736729907040453,0.0,0.03700305827548584,0.166183377790798,35.89245149350204
27,EAST SIDE,0.350432860544207,0.0,0.04094558864263522,0.05566386780336627,34.90487883689129
28,WASHINGTON PARK,0.34177417714610403,0.0,0.04130492478378237,0.10934935350653964,34.72163706272287
29,GREATER GRAND CROSSING,0.33892434812252786,0.0,0.032615492133751436,0.14061936465665978,34.71901259799119
30,ROSELAND,0.3377055609695423,0.0,0.0438940972504064,0.0862450426443532,34.08296511258728
31,SOUTH CHICAGO,0.3343809150534397,0.0,0.03950520528097195,0.0869361423714389,33.718339072635246
32,IRVING PARK,0.26550358725643214,0.38930232755703614,0.04831490874173156,0.23268254454661574,33.63216000311039
33,AUBURN GRESHAM,0.3160692796087661,0.0,0.024549632039749487,0.055127075517830325,31.392315223687344
34,BRIDGEPORT,0.2439259827480682,0.2992366654874994,0.07427436807754727,0.19872344225003338,30.374218183900908
35,WEST RIDGE,0.24746657874973244,0.17721345379633668,0.04773019041492127,0.1647627455401351,28.51824788375634
36,GRAND BOULEVARD,0.19103983436163055,0.5395563866437857,0.06078856030978748,0.1911040364738944,27.92041008918065
37,NORTH LAWNDALE,0.24895546369982613,0.0,0.04323483199165822,0.207115433255277,26.98433654363456
38,WEST ENGLEWOOD,0.25274058853364895,0.0,0.023043302260724964,0.0790280525259863,25.56412962117967
39,FOREST GLEN,0.24959308426443005,0.09785024665923747,0.026871478928911854,0.0,25.533682934878644
40,WASHINGTON HEIGHTS,0.24917607458909966,0.0,0.033545663787213395,0.05818437546540807,25.09644687912342
41,SOUTH LAWNDALE,0.23038428031451602,0.0,0.06189288674906616,0.153850603078856,24.77965203960986
42,WEST PULLMAN,0.23222240483033013,0.0,0.014833108117975217,0.04663158364588459,23.099760618663066
43,ARMOUR SQUARE,0.17367980402091207,0.0,0.09952939186735649,0.3337552273952021,21.938048361174655
44,CHATHAM,0.19626300199423527,0.0,0.043641753423740305,0.15478834723945842,21.285837663762003
45,NEW CITY,0.17885825895794782,0.0,0.032841532310931135,0.1118493644693639,18.963190783368265
46,SOUTH DEERING,0.18439352393485972,0.0,0.0054580237509957675,0.022878216222923926,18.095735466564907
47,WEST ELSDON,0.1700071534105789,0.0,0.045057950134623,0.07082546536786052,17.764222147893864
48,ENGLEWOOD,0.1423112097272301,0.10182420760344492,0.04517067975905106,0.17581611603835415,17.588017548603887
49,AUSTIN,0.1547802615861851,0.0,0.045306974926633596,0.15696786389760484,17.337867145449362
50,BELMONT CRAGIN,0.1540264621164826,0.0,0.05572729939376885,0.12741287088666245,17.034983831813918
51,CHICAGO LAWN,0.15884640773122705,0.0,0.051552103135503013,0.08250679779095733,16.908346018911832
52,SOUTH SHORE,0.1199667617409986,0.10660298681547913,0.0630541530628772,0.14159035263672873,15.297362639748059
53,MCKINLEY PARK,0.12552635494391146,0.0,0.04205061858482192,0.2056392056071639,15.06770723234231
54,GAGE PARK,0.12196759458151131,0.0,0.036074828052123545,0.1323119474703406,13.770564383056918
55,PULLMAN,0.12298509188040817,0.0,0.02498060790565554,0.11779917915510692,13.560333809985634
56,PORTAGE PARK,0.09726791487335128,0.15829017821345945,0.08526689351275903,0.052560352251124744,12.929657148501786
57,NORWOOD PARK,0.10730914592571407,0.14302302224453992,0.04985126549287773,0.0,12.653875912325068
58,HUMBOLDT PARK,0.1112420358783721,0.0,0.04033812839293742,0.10375608365615212,12.445451368964207
59,CALUMET HEIGHTS,0.11041041393472144,0.0,0.02452655430288948,0.07117417392896197,11.782919621892075
60,HERMOSA,0.07367134160599291,0.0,0.05933633836533349,0.14212465808458452,9.518343836864307
61,MORGAN PARK,0.08014386507723732,0.0,0.043112828983190944,0.06303997958879375,8.994446709056032
62,BEVERLY,0.05433033338324208,0.1964753866299705,0.04150442909626964,0.05219181958855908,8.723767006746266
63,DUNNING,0.06593532492623,0.0,0.0355686739128341,0.12300092047481945,8.257231505363766
64,CLEARING,0.07711842216302643,0.0,0.02848548413201116,0.0,7.768342709536473
65,FULLER PARK,0.048481461596562934,0.0,0.03700147027324251,0.17448505825725918,7.2135538491881075
66,MONTCLARE,0.0,0.31626615298243166,0.06680962102764981,0.12601964766340445,6.127403706429365
67,EDISON PARK,0.04857887290530875,0.0,0.05532408103292352,0.0,5.343383166533018
68,ASHBURN,0.03853950852816358,0.0,0.027881631730981835,0.0,4.046430089733588
69,BURNSIDE,0.027454066527341073,0.0,0.01084002248194458,0.06815664135522655,3.59426065303435
70,MOUNT GREENWOOD,0.0,0.11538746907417403,0.0304687721381517,0.06130316954196122,2.493342676516255
71,BRIGHTON PARK,0.0,0.0,0.029131121420157474,0.12210795061949342,1.8202930356876121
72,ARCHER HEIGHTS,0.0,0.0,0.01811976432878261,0.1035709256520188,1.4646527017965192
73,GARFIELD RIDGE,5.785763331750899e-06,0.07397932258571464,0.020316083769928186,0.019651904108218994,1.372011525539457
74,WEST LAWN,0.0016290149678063713,0.0,0.032453676738435216,0.05629034275666522,1.224963859899356
75,RIVERDALE,0.0,0.0,0.0046813136978908106,0.03532051185058617,0.48145656726585356
